CODICE PRODOTTO,CODICE OE,CODICI CROSS,BRAND,DESCRIZIONE,LINK IMMAGINE,CATEGORIA,GIACENZA,PREZZO,SCHEDA TECNICA,SCHEDA DI SICUREZZA,CONFEZIONE,QUANTITÀ MINIMA,META.LUNGHEZZA,META.LARGHEZZA,META.PROFONDITA',META. ...
0258007038,,,BOSCH,SONDA LAMBDA,,Ricambio,1.0,97.9,,,1 pz,1,,,,
0258017016,,,BOSCH,SONDA LAMBDA MERCEDES,,Ricambio,2.0,79.9,,,1 pz,1,,,,
025803007N,,,BOSCH,Sonda lambda,,Ricambio,1.0,47.9,,,1 pz,1,,,,
0260120025,,,BOSCH,VALVOLA ELETTROMAGNETICA,,Ricambio,2.0,37.9,,,1 pz,1,,,,
0261210113,,,BOSCH,TRASDUTTORE NUMERO DI GIRI,,Ricambio,1.0,25.9,,,1 pz,1,,,,
0261210126,,,BOSCH,TRASDUTTORE NR GIRI ALB.MOTORE,,Ricambio,2.0,27.9,,,1 pz,1,,,,
0261210141,,,BOSCH,TRASDUTTORE NUMERO GIRI,,Ricambio,2.0,31.9,,,1 pz,1,,,,
0261210151,,,BOSCH,TRASDUTTORE NUMERO DI GIRI,,Ricambio,3.0,28.9,,,1 pz,1,,,,
0261210170,,,BOSCH,TRASDUTTORE GIRI MERCEDES,,Ricambio,5.0,27.9,,,1 pz,1,,,,
026123001U,,,BOSCH,SENSORE PRESSIONE/TEMPERAT,,Ricambio,1.0,29.9,,,1 pz,1,,,,
0261230112,,,BOSCH,SENSORE DI PRESSIONE,,Ricambio,5.0,29.9,,,1 pz,1,,,,
0261230119,,,BOSCH,Sensore di pressione,,Ricambio,1.0,32.9,,,1 pz,1,,,,
0261230189,,,BOSCH,SENSORE PRESSIONE MERCEDES,,Ricambio,2.0,25.9,,,1 pz,1,,,,
0261230191,,,BOSCH,SENSORE DI PRESSIONE,,Ricambio,1.0,24.9,,,1 pz,1,,,,
0261230193,,,BOSCH,SENSORE PRESSIONE,,Ricambio,3.0,23.9,,,1 pz,1,,,,
0261230197,,,BOSCH,SENSORE PRESSIONE/TEMPER,,Ricambio,2.0,25.9,,,1 pz,1,,,,
0261230224,,,BOSCH,SENSORE DI PRESSIONE,,Ricambio,1.0,25.9,,,1 pz,1,,,,
0261230245,,,BOSCH,SENSORE DI PRESSIONE,,Ricambio,3.0,14.9,,,1 pz,1,,,,
0261230266,,,BOSCH,SENSORE PRESSIONE,,Ricambio,2.0,20.9,,,1 pz,1,,,,
0261230283,,,BOSCH,SENSORE PRESSIONE,,Ricambio,4.0,29.9,,,1 pz,1,,,,
0261230284,,,BOSCH,SENSORE DI PRESSIONE,,Ricambio,3.0,23.9,,,1 pz,1,,,,
0261230439,,,BOSCH,SENSORE DI PRESSIONE,,Ricambio,2.0,26.9,,,1 pz,1,,,,
0261230503,,,BOSCH,SENSORE DI PRESSIONE,,Ricambio,5.0,27.9,,,1 pz,1,,,,
0261231188,,,BOSCH,SENSORE BATTITO,,Ricambio,1.0,21.9,,,1 pz,1,,,,
0261500160,,,BOSCH,INIETTORE,,Ricambio,2.0,54.9,,,1 pz,1,,,,
0261500354,,,BOSCH,INIETTORE AUDI/SEAT/SKODA/VW,,Ricambio,4.0,50.9,,,1 pz,1,,,,
0261545111,,,BOSCH,Sensore di pressione,,Ricambio,2.0,51.9,,,1 pz,1,,,,
0265008035,,,BOSCH,Sensore giri ruota,,Ricambio,2.0,36.9,,,1 pz,1,,,,
0265009340,,,BOSCH,Sensore velocita ruota,,Ricambio,1.0,51.9,,,1 pz,1,,,,
0280122001,,,BOSCH,INTERRUTTORE,,Ricambio,2.0,28.9,,,1 pz,1,,,,
0280130026,,,BOSCH,SENSORE TEMPERATURA,,Ricambio,2.0,16.9,,,1 pz,1,,,,
0280130039,,,BOSCH,Sensore di temperatura,,Ricambio,1.0,22.9,,,1 pz,1,,,,
