TecDoc-ID,TecDoc Brand,TecDoc Brand ID,Description,Quantity,Price_Italia,Price_Germany,Brand Type
0261210151,BOSCH,30,TRASDUTTORE NUMERO DI GIRI,3.0,28.9,31.9,AFTERMARKET
0261210170,BOSCH,30,TRASDUTTORE GIRI MERCEDES,5.0,27.9,30.9,AFTERMARKET
026123001U,BOSCH,30,SENSORE PRESSIONE/TEMPERAT,1.0,29.9,32.9,AFTERMARKET
0261230112,BOSCH,30,SENSORE DI PRESSIONE,5.0,29.9,32.9,AFTERMARKET
0261230119,BOSCH,30,Sensore di pressione,1.0,32.9,35.9,AFTERMARKET
0261230189,BOSCH,30,SENSORE PRESSIONE MERCEDES,2.0,25.9,28.9,AFTERMARKET
0261230191,BOSCH,30,SENSORE DI PRESSIONE,1.0,24.9,27.9,AFTERMARKET
0261230193,BOSCH,30,SENSORE PRESSIONE,3.0,23.9,26.9,AFTERMARKET
0261230197,BOSCH,30,SENSORE PRESSIONE/TEMPER,2.0,25.9,28.9,AFTERMARKET
0261230224,BOSCH,30,SENSORE DI PRESSIONE,1.0,25.9,28.9,AFTERMARKET
0261230245,BOSCH,30,SENSORE DI PRESSIONE,3.0,14.9,17.9,AFTERMARKET
0261230266,BOSCH,30,SENSORE PRESSIONE,2.0,20.9,23.9,AFTERMARKET
0261230283,BOSCH,30,SENSORE PRESSIONE,4.0,29.9,32.9,AFTERMARKET
0261230284,BOSCH,30,SENSORE DI PRESSIONE,3.0,23.9,26.9,AFTERMARKET
0261230439,BOSCH,30,SENSORE DI PRESSIONE,2.0,26.9,29.9,AFTERMARKET
0261230503,BOSCH,30,SENSORE DI PRESSIONE,5.0,27.9,30.9,AFTERMARKET
0261231188,BOSCH,30,SENSORE BATTITO,1.0,21.9,24.9,AFTERMARKET
0261500160,BOSCH,30,INIETTORE,2.0,54.9,57.9,AFTERMARKET
0261500354,BOSCH,30,INIETTORE AUDI/SEAT/SKODA/VW,4.0,50.9,53.9,AFTERMARKET
0261545111,BOSCH,30,Sensore di pressione,2.0,51.9,54.9,AFTERMARKET
0265008035,BOSCH,30,Sensore giri ruota,2.0,36.9,39.9,AFTERMARKET
0265009340,BOSCH,30,Sensore velocita ruota,1.0,51.9,54.9,AFTERMARKET
0280122001,BOSCH,30,INTERRUTTORE,2.0,28.9,31.9,AFTERMARKET
0280130026,BOSCH,30,SENSORE TEMPERATURA,2.0,16.9,19.9,AFTERMARKET
0280130039,BOSCH,30,Sensore di temperatura,1.0,22.9,25.9,AFTERMARKET
0280156063,BOSCH,30,ELETTROINIETTORE AUDI/VW 1.8IE,1.0,35.9,38.9,AFTERMARKET
0280156357,BOSCH,30,INIETTORE BENZINA,4.0,59.9,62.9,AFTERMARKET
0280158124,BOSCH,30,VALVOLA INIETTORE,4.0,24.9,27.9,AFTERMARKET
0280158169,BOSCH,30,INIETTORE FIAT,4.0,68.9,71.9,AFTERMARKET
0280158207,BOSCH,30,INIETTORE,4.0,38.9,41.9,AFTERMARKET
0280158818,BOSCH,30,INIETTORE GAS IVECO,8.0,70.9,73.9,AFTERMARKET
0280158857,BOSCH,30,INIETTORE,4.0,68.9,71.9,AFTERMARKET
0280160557,BOSCH,30,REGOL DI PRESS RANGE ROVER,2.0,20.9,23.9,AFTERMARKET
0280160575,BOSCH,30,REGOLAT PRESS(MODIF LAND ROVER,2.0,23.9,26.9,AFTERMARKET
0280217114,BOSCH,30,MISURATORE ARIA MERCEDES,1.0,80.9,83.9,AFTERMARKET
0280217121,BOSCH,30,DEBIMETRO AUDI/VW/FORD/SEAT,2.0,63.9,66.9,AFTERMARKET
0280218019,BOSCH,30,DEBIMETRO LANCIA K 2.4 JTD,1.0,79.9,82.9,AFTERMARKET
0280218120,BOSCH,30,DEBIMETRO ALFA 147 JTD,1.0,74.9,77.9,AFTERMARKET
0280218431,BOSCH,30,Misuratore massa aria 7,2.0,51.9,54.9,AFTERMARKET
0281002011,BOSCH,30,SONDA TERMICA,1.0,36.9,39.9,AFTERMARKET
0281002123,BOSCH,30,SENSORE NUMERO GIRI,1.0,45.9,48.9,AFTERMARKET
0281002138,BOSCH,30,SENSORE VELOCITA' OPEL,3.0,29.9,32.9,AFTERMARKET
0281002154,BOSCH,30,VALVOLA ELETTROMAGNETICA,1.0,116.9,119.9,AFTERMARKET
0281002169,BOSCH,30,SENSORE. TEMP.LIQU,1.0,19.9,22.9,AFTERMARKET
0281002170,BOSCH,30,SENSORE DI TEMPERATURA,1.0,15.9,18.9,AFTERMARKET
0281002191,BOSCH,30,TRASDUTTORE GIRI NISSAN,2.0,66.9,69.9,AFTERMARKET
0281002205,BOSCH,30,SENSORE PRESS. SOVRAL.,1.0,73.9,76.9,AFTERMARKET
0281002206,BOSCH,30,TRASDUCTORE NUMERO GIRI,4.0,23.9,26.9,AFTERMARKET
0281002207,BOSCH,30,MISUR. PORT. ARIA NISSAN TERR.,2.0,124.9,127.9,AFTERMARKET
0281002209,BOSCH,30,SENSORE TEMPERATURA OLIO,1.0,14.9,17.9,AFTERMARKET
0281002213,BOSCH,30,TRASDUTTORE DI FASE,3.0,56.9,59.9,AFTERMARKET
0281002232,BOSCH,30,SENSORE DI TEMPERATURA,1.0,37.9,40.9,AFTERMARKET
0281002241,BOSCH,30,VALVOLA PRESS. C/RAIL MERCEDES,9.0,100.9,103.9,AFTERMARKET
0281002244,BOSCH,30,SENSORE PRESSIONE TEMPERATURA,2.0,87.9,90.9,AFTERMARKET
0281002248,BOSCH,30,GENERATORE DI IMPULSI,1.0,50.9,53.9,AFTERMARKET
0281002270,BOSCH,30,SENSORE,2.0,62.9,65.9,AFTERMARKET
0281002285,BOSCH,30,SENSORE GIRI,2.0,48.9,51.9,AFTERMARKET
0281002313,BOSCH,30,VALVOLA ELETTROMAGNETICA,1.0,153.9,156.9,AFTERMARKET
0281002314,BOSCH,30,VALVOLA ELETTROMAGNETICA,1.0,175.9,178.9,AFTERMARKET
0281002315,BOSCH,30,TRASDUTTORE NUMERO GIRI,1.0,21.9,24.9,AFTERMARKET
0281002316,BOSCH,30,SENSORE PRESSIONE,1.0,69.9,72.9,AFTERMARKET
0281002332,BOSCH,30,SENSORE GIRI IVECO,5.0,42.9,45.9,AFTERMARKET
0281002406,BOSCH,30,TRASDUTTORE DI FASE,1.0,45.9,48.9,AFTERMARKET
0281002410,BOSCH,30,SENSORE GIRI,2.0,35.9,38.9,AFTERMARKET
